title,platform,publisher,sales_genre,release_year,rating,na_sales,eu_sales,jp_sales,other_sales,global_sales,plays,playing,backlogs,wishlist,num_reviews,sales_per_review,engagement_ratio
Minecraft,X360,Microsoft Game Studios,Misc,2011,4.3,5.58,2.83,0.02,0.77,9.2,33000.0,1800.0,1100.0,230.0,2300.0,0.004,0.0545
Minecraft,PS3,Sony Computer Entertainment,Misc,2011,4.3,1.97,2.51,0.0,0.94,5.42,33000.0,1800.0,1100.0,230.0,2300.0,0.0024,0.0545
Minecraft,PS4,Sony Computer Entertainment Europe,Misc,2011,4.3,1.38,1.87,0.12,0.65,4.02,33000.0,1800.0,1100.0,230.0,2300.0,0.0017,0.0545
Minecraft,XOne,Microsoft Game Studios,Misc,2011,4.3,1.43,0.76,0.0,0.22,2.41,33000.0,1800.0,1100.0,230.0,2300.0,0.001,0.0545
Minecraft,PSV,Sony Computer Entertainment Europe,Misc,2011,4.3,0.28,0.79,0.87,0.32,2.25,33000.0,1800.0,1100.0,230.0,2300.0,0.001,0.0545
Minecraft,WiiU,Microsoft Game Studios,Misc,2011,4.3,0.18,0.09,0.14,0.03,0.43,33000.0,1800.0,1100.0,230.0,2300.0,0.0002,0.0545
God of War,PS2,Sony Computer Entertainment,Action,2018,4.2,2.71,1.29,0.02,0.43,4.45,21000.0,1100.0,4800.0,2600.0,2900.0,0.0015,0.0524
Portal 2,X360,Valve Software,Shooter,2011,4.4,1.41,0.51,0.01,0.17,2.1,29000.0,471.0,3900.0,1200.0,2900.0,0.0007,0.0162
Portal 2,PS3,Valve,Shooter,2011,4.4,0.83,0.63,0.02,0.25,1.74,29000.0,471.0,3900.0,1200.0,2900.0,0.0006,0.0162
Portal 2,PC,Valve Software,Shooter,2011,4.4,0.33,0.32,0.0,0.11,0.76,29000.0,471.0,3900.0,1200.0,2900.0,0.0003,0.0162
Bloodborne,PS4,Sony Computer Entertainment,Action,2015,4.5,1.0,0.76,0.26,0.36,2.38,17000.0,1100.0,5600.0,3300.0,3400.0,0.0007,0.0647
Metal Gear Rising: Revengeance,PS3,Konami Digital Entertainment,Action,2013,4.1,0.45,0.4,0.44,0.18,1.47,14000.0,492.0,4200.0,2000.0,2100.0,0.0007,0.0351
Metal Gear Rising: Revengeance,X360,Konami Digital Entertainment,Action,2013,4.1,0.29,0.16,0.0,0.04,0.5,14000.0,492.0,4200.0,2000.0,2100.0,0.0002,0.0351
Grand Theft Auto V,PS3,Take-Two Interactive,Action,2013,3.8,7.01,9.27,0.97,4.14,21.4,30000.0,829.0,3200.0,664.0,2100.0,0.0102,0.0276
Grand Theft Auto V,X360,Take-Two Interactive,Action,2013,3.8,9.63,5.31,0.06,1.38,16.38,30000.0,829.0,3200.0,664.0,2100.0,0.0078,0.0276
Grand Theft Auto V,PS4,Take-Two Interactive,Action,2013,3.8,3.8,5.81,0.36,2.02,11.98,30000.0,829.0,3200.0,664.0,2100.0,0.0057,0.0276
Grand Theft Auto V,XOne,Take-Two Interactive,Action,2013,3.8,2.66,2.01,0.0,0.41,5.08,30000.0,829.0,3200.0,664.0,2100.0,0.0024,0.0276
Grand Theft Auto V,PC,Take-Two Interactive,Action,2013,3.8,0.36,0.64,0.0,0.08,1.08,30000.0,829.0,3200.0,664.0,2100.0,0.0005,0.0276
Dark Souls III,PS4,Namco Bandai Games,Role-Playing,2016,4.2,0.58,0.44,0.33,0.21,1.56,19000.0,851.0,4300.0,2200.0,2400.0,0.0006,0.0448
Dark Souls III,XOne,Namco Bandai Games,Role-Playing,2016,4.2,0.23,0.09,0.0,0.03,0.35,19000.0,851.0,4300.0,2200.0,2400.0,0.0001,0.0448
Dark Souls III,PC,Namco Bandai Games,Role-Playing,2016,4.2,0.0,0.05,0.0,0.0,0.05,19000.0,851.0,4300.0,2200.0,2400.0,0.0,0.0448
Super Mario 64,N64,Nintendo,Platform,1996,4.1,6.91,2.85,1.91,0.23,11.89,21000.0,463.0,2500.0,775.0,2600.0,0.0046,0.022
Super Mario 64,DS,Nintendo,Platform,1996,4.1,5.08,3.11,1.25,0.98,10.42,21000.0,463.0,2500.0,775.0,2600.0,0.004,0.022
Final Fantasy VII,PS,Sony Computer Entertainment,Role-Playing,1997,4.2,3.01,2.47,3.28,0.96,9.72,15000.0,1100.0,5000.0,1500.0,2900.0,0.0034,0.0733
Super Mario Galaxy,Wii,Nintendo,Platform,2007,4.3,6.16,3.4,1.2,0.76,11.52,21000.0,468.0,3100.0,1200.0,2700.0,0.0043,0.0223
Fallout: New Vegas,X360,Bethesda Softworks,Role-Playing,2010,4.3,2.65,1.06,0.04,0.33,4.08,16000.0,756.0,5000.0,1400.0,2000.0,0.002,0.0472
Fallout: New Vegas,PS3,Bethesda Softworks,Role-Playing,2010,4.3,1.52,1.08,0.1,0.47,3.17,16000.0,756.0,5000.0,1400.0,2000.0,0.0016,0.0472
Fallout: New Vegas,PC,Bethesda Softworks,Role-Playing,2010,4.3,0.58,0.45,0.0,0.14,1.16,16000.0,756.0,5000.0,1400.0,2000.0,0.0006,0.0472
Resident Evil 2,PS,Virgin Interactive,Action,2019,4.3,1.88,1.47,2.02,0.45,5.82,15000.0,585.0,3600.0,1900.0,2500.0,0.0023,0.039
Resident Evil 2,N64,Virgin Interactive,Action,2019,4.3,0.39,0.09,0.07,0.01,0.56,15000.0,585.0,3600.0,1900.0,2500.0,0.0002,0.039
Resident Evil 2,GC,Capcom,Action,2019,4.3,0.04,0.01,0.0,0.0,0.06,15000.0,585.0,3600.0,1900.0,2500.0,0.0,0.039
Doom,PS,Infogrames,Shooter,2016,4.0,0.43,0.3,0.0,0.05,0.78,18000.0,541.0,4000.0,1400.0,1800.0,0.0004,0.0301
Doom,GBA,Activision,Shooter,2016,4.0,0.1,0.04,0.0,0.0,0.14,18000.0,541.0,4000.0,1400.0,1800.0,0.0001,0.0301
Doom,PC,id Software,Shooter,2016,4.0,0.02,0.0,0.0,0.0,0.03,18000.0,541.0,4000.0,1400.0,1800.0,0.0,0.0301
Bayonetta,PS3,Sega,Action,2009,3.9,0.44,0.41,0.21,0.17,1.23,13000.0,614.0,5000.0,2300.0,1700.0,0.0007,0.0472
Bayonetta,X360,Sega,Action,2009,3.9,0.51,0.26,0.09,0.08,0.94,13000.0,614.0,5000.0,2300.0,1700.0,0.0006,0.0472
Silent Hill 2,PS2,Konami Digital Entertainment,Action,2001,4.5,0.62,0.49,0.0,0.16,1.28,8600.0,282.0,2900.0,2100.0,2200.0,0.0006,0.0328
The Witcher 3: Wild Hunt,PS4,Namco Bandai Games,Role-Playing,2015,4.3,0.96,2.0,0.21,0.56,3.73,17000.0,1200.0,6100.0,1600.0,2000.0,0.0019,0.0706
The Witcher 3: Wild Hunt,XOne,Namco Bandai Games,Role-Playing,2015,4.3,0.66,0.47,0.0,0.11,1.24,17000.0,1200.0,6100.0,1600.0,2000.0,0.0006,0.0706
The Witcher 3: Wild Hunt,PC,Namco Bandai Games,Role-Playing,2015,4.3,0.2,0.42,0.0,0.05,0.67,17000.0,1200.0,6100.0,1600.0,2000.0,0.0003,0.0706
Persona 5,PS4,Atlus,Role-Playing,2016,4.1,0.0,0.0,0.34,0.0,0.34,16000.0,630.0,2800.0,1700.0,1800.0,0.0002,0.0394
Persona 5,PS3,Unknown,Role-Playing,2016,4.1,0.0,0.0,0.1,0.0,0.1,16000.0,630.0,2800.0,1700.0,1800.0,0.0001,0.0394
The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Role-Playing,2011,3.7,5.03,2.86,0.1,0.85,8.84,22000.0,589.0,3000.0,1000.0,1700.0,0.0052,0.0268
The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Role-Playing,2011,3.7,2.55,2.71,0.25,1.05,6.56,22000.0,589.0,3000.0,1000.0,1700.0,0.0039,0.0268
The Elder Scrolls V: Skyrim,PC,Bethesda Softworks,Role-Playing,2011,3.7,1.15,2.09,0.0,0.64,3.88,22000.0,589.0,3000.0,1000.0,1700.0,0.0023,0.0268
Resident Evil 4,PS2,Capcom,Action,2005,4.3,2.08,0.83,0.46,0.25,3.62,14000.0,360.0,3000.0,1200.0,2300.0,0.0016,0.0257
Resident Evil 4,Wii,Capcom,Action,2005,4.3,1.34,0.57,0.14,0.21,2.26,14000.0,360.0,3000.0,1200.0,2300.0,0.001,0.0257
Resident Evil 4,GC,Capcom,Action,2005,4.3,0.98,0.42,0.22,0.06,1.69,14000.0,360.0,3000.0,1200.0,2300.0,0.0007,0.0257
Resident Evil 4,PC,Ubisoft,Action,2005,4.3,0.0,0.02,0.0,0.01,0.03,14000.0,360.0,3000.0,1200.0,2300.0,0.0,0.0257
Dark Souls,PS3,Namco Bandai Games,Role-Playing,2011,4.3,0.75,0.54,0.54,0.23,2.07,14000.0,447.0,2500.0,1400.0,2100.0,0.001,0.0319
Dark Souls,X360,Namco Bandai Games,Role-Playing,2011,4.3,0.64,0.28,0.0,0.08,1.0,14000.0,447.0,2500.0,1400.0,2100.0,0.0005,0.0319
Dark Souls,PC,Namco Bandai Games,Role-Playing,2011,4.3,0.0,0.06,0.0,0.01,0.07,14000.0,447.0,2500.0,1400.0,2100.0,0.0,0.0319
The Legend of Zelda: Ocarina of Time,N64,Nintendo,Action,1998,4.3,4.1,1.89,1.45,0.16,7.6,17000.0,433.0,3000.0,1400.0,2200.0,0.0035,0.0255
The Legend of Zelda: Ocarina of Time,3DS,Nintendo,Action,1998,4.3,2.03,1.27,0.62,0.3,4.21,17000.0,433.0,3000.0,1400.0,2200.0,0.0019,0.0255
Chrono Trigger,SNES,SquareSoft,Role-Playing,1995,4.5,0.28,0.0,2.02,0.01,2.31,9100.0,518.0,4900.0,2200.0,1900.0,0.0012,0.0569
Chrono Trigger,DS,Square Enix,Role-Playing,1995,4.5,0.69,0.2,0.49,0.09,1.47,9100.0,518.0,4900.0,2200.0,1900.0,0.0008,0.0569
Metal Gear Solid 2: Sons of Liberty,PS2,Konami Digital Entertainment,Action,2001,4.4,2.45,2.01,0.87,0.72,6.05,10000.0,161.0,2600.0,1400.0,1800.0,0.0034,0.0161
Super Mario World,SNES,Nintendo,Platform,1990,4.2,12.78,3.75,3.54,0.55,20.61,18000.0,218.0,1700.0,460.0,2100.0,0.0098,0.0121
Super Mario World,GBA,Nintendo,Platform,1990,4.2,3.21,1.11,0.95,0.2,5.46,18000.0,218.0,1700.0,460.0,2100.0,0.0026,0.0121
EarthBound,SNES,Nintendo,Role-Playing,1994,4.2,0.0,0.0,0.81,0.0,0.81,9000.0,600.0,4800.0,1800.0,1900.0,0.0004,0.0667
Castlevania: Symphony of the Night,PS,Konami Digital Entertainment,Platform,1997,4.4,0.58,0.4,0.21,0.08,1.27,9100.0,316.0,3400.0,1700.0,1900.0,0.0007,0.0347
